k,WCSS (Inertia),Silhouette Score
2,470.2158594875915,0.33090773695360576
3,345.37652772096953,0.3772988967806388
4,220.94070413340773,0.40314263827125724
5,169.69276212336084,0.405511030819594
6,150.81046638006475,0.33845110513715965
7,133.1202909108662,0.3406695550344507
8,123.32400525327884,0.2736831946093741
9,113.67255722908428,0.26203955543491564
10,105.18848298070496,0.25232753138969716
